date,username,tweet,polarity
2021-12-31,isbibandung,rektor serta civitas akademika institut seni budaya indonesia bandung ucap selamat tahun baru,1
2021-12-31,ditjendikti,halo pimpin keluarga besar ditjen diktiristek ucap selamat tahun baru semangat gapai harap cita cita wujud merdeka ajar kampus merdeka indonesia jaya,1
2021-12-31,Mitanewscoid,syaiful syafri rawan ksj unsur ajar mahasiswa wujud merdeka ajar,2
2021-12-31,KabarSiang,dukung stakeholders guru tinggi bijak merdeka ajar kampus merdeka mbkm,1
2021-12-31,Kemdikbud_RI,wayan martha nisa chandra isi malam tahun baru mereka bakar jagung ikan sate mereka tetap laku rumah masing masing bagaimana cara sambut tahun baru,0
2021-12-31,OWulan14,sebentar sender sekolah apa kerja rodi kata merdeka ajar nyata fullday sekolah,1
2021-12-31,FunderRei,refleksi akhir tahun labschool unesa fokus merdeka ajar unesa ptnbh detik peristiwa,1
2021-12-31,karamy23,anak sekolah dki jakarta harus ptm case naik terus varian omi ambil bijak dasar apa bukan kapasitas tetap batas bingung saya mas belum,2
2021-12-31,UGMSTP,kunjung pmm stp acara kunjung science techno park desember rupa bagi rangkai giat modul nusantara program tukar mahasiswa merdeka negeri pmm kampus merdeka merdeka ajar mbkm kemendikbud ristek,2
2021-12-31,PAUDDikdasmen,saksi webinar tema kesiap laksana ajar tatap muka tahun youtube ditjen paud dikdasmen senin januari pukul wib,0
2021-12-31,KantahPacitan,hai kantor tanah kabupaten pacitan jadi salah satu lokasi laksana program merdeka ajar kampus merdeka magang kerja mbkm magang kerja fakultas ekonomi universitas slamet riyadi surakarta,2
2021-12-31,medcom_id,muhammadiyah ingat merdeka ajar bukan sekadar istilah,2
2021-12-31,ATrisna117,jadi guru asn amanah buat ubah lebih dunia didik slogan menteri didik budaya riset dan teknologi merdeka ajar moga didik indonesia makin maju tidak jadi urut bawah pisa,1
2021-12-31,AwalMediaN,program merdeka ajar kampus merdeka perlu evaluasi,1
2021-12-31,infoJSAN,moga kita senantiasa dapat murah allah ampun atas amal telah laku mohon buka jalan baik tahun datang,1
2021-12-31,republikaonline,ukrida teliti kata kunci merdeka ajar kampus merdeka twitter,1
2021-12-31,mens_humana,saya suka podcast bahas kena konsep merdeka ajar canang menteri didik budaya riset dan teknologi saya sepakat kualitas guru harus jadi prioritas didik indonesia ingin maju,1
2021-12-31,kb_ntb,kata bahasa mbojo bima,2
2021-12-31,ernilaila,page merdeka ajar gerak hati pulih didik,1
2021-12-30,nayfatin,nama merdeka ajar kampus merdeka terap tidak mulus mulus banget gak jadi teliti saya,2
2021-12-30,DuddyRS,mahasiswa unjani ikut program merdeka ajar kampus merdeka,2
2021-12-30,wwwTpmdsdotcom,refleksi akhir tahun didik nasional bijak merdeka ajar masuk pppk,1
2021-12-30,Titiektitiek2,lama kalian belum kuasa teknologi kalian terus main asing habis buat beli peluru tembak saudara sendiri beli peluru jajah lihat timur tengah afrika salam papua merdeka ajar,2
2021-12-30,jpnncom,hasil riset laku ukrida program merdeka ajar kampus merdeka tunjuk dosen lebih puas banding mahasiswa,1
2021-12-30,collegemenfess,kemarin temen sempat cerita program merdeka ajar student exchange luar negeri aku lupa namanyaa tahu ga yaa makasihh mau jawabb,1
2021-12-30,likeaishaa,the am tuhan hatimumerdeka ajar rindu deras hujan sore itu arah musim,1
2021-12-30,bbgpsulsel,dongeng biasa keluar beberapa suara beda mereka dongeng suara suara unik guna sesuai karakter dongeng cerita nyata guna suara unik dongeng milik banyak manfaat,1
2021-12-30,Kemdikbud_RI,tahu bunyi dapat rambat empat lebih cepat air banding lewat udara salah satu bukti kita selam kita dapat dengar bunyi muka air simak jelas,2
2021-12-30,mediaindonesia,merdeka ajar kampus merdeka mbkm beri dampak psikologis paling signifikan mahasiswa,2
2021-12-30,itbofficial,studi baru anak krakatau letus kuat bukan sebab runtuh tubuh anak krakataubaca berita lengkap laman,2
2021-12-30,AdpointId,tayang iklan merdeka ajar program kemdikbud media led videotron mens lokasi sangat strategis rupa salah satu jalan utama wilayah cilegon,1
2021-12-30,isibil5wole,program merdeka ajar kampus merdeka,1
2021-12-30,kumparan,mahasiswa harap milik kompetensi tambah ada program merdeka ajar kampus merdeka mbkm,1
2021-12-30,RSJR_07,mbkm merdeka ajar kampus merdeka,1
2021-12-30,isbibandung,lulus isbi bandung medalkeun inovasi seni,1
2021-12-30,isbibandung,latih teknis film kuat kreativitas seni yayasan pakalangan apip hernawan tohari,1
2021-12-30,kb_ntb,konten hari ir soekarno baik maju kita renung sama,1
2021-12-30,kb_ntb,informasi lupa simak acara siar bahasa sastra besok jumat desember pukul wita tema benang merah sasambo pariwisata sampai taufan rahmadi,2
